Path,Type
C:\File_Share\Strategic Sourcing\1ic0kmh0.docx,file
C:\File_Share\Strategic Sourcing\2vpff1yk.rm,file
C:\File_Share\Strategic Sourcing\5afanb2d.pdf,file
C:\File_Share\Strategic Sourcing\5xij2jsp.mpeg,file
C:\File_Share\Strategic Sourcing\5xyhwdrx.wmv,file
C:\File_Share\Strategic Sourcing\a2p0jvoz.pdf,file
C:\File_Share\Strategic Sourcing\bo3qp2hi.doc,file
C:\File_Share\Strategic Sourcing\c2ciugao.docx,file
C:\File_Share\Strategic Sourcing\cek0okcq.docx,file
C:\File_Share\Strategic Sourcing\co0qihtp.docx,file
C:\File_Share\Strategic Sourcing\e2cbckde.ppt,file
C:\File_Share\Strategic Sourcing\ehzj5mhf.mpeg2,file
C:\File_Share\Strategic Sourcing\ezgxhipg.pptx,file
C:\File_Share\Strategic Sourcing\f3t5myjt.xls,file
C:\File_Share\Strategic Sourcing\gkaqsr2d.doc,file
C:\File_Share\Strategic Sourcing\i1eq4ecv.midi,file
C:\File_Share\Strategic Sourcing\ku2xkluj.pdf,file
C:\File_Share\Strategic Sourcing\o54sprcd.wmv,file
C:\File_Share\Strategic Sourcing\p2c1lfjy.docx,file
C:\File_Share\Strategic Sourcing\p3fd1b55.pptx,file
C:\File_Share\Strategic Sourcing\r15ss0bk.docx,file
C:\File_Share\Strategic Sourcing\tjba0hnt.mpeg,file
C:\File_Share\Strategic Sourcing\tnrtok0y.rm,file
C:\File_Share\Strategic Sourcing\tswjknit.mpeg3,file
C:\File_Share\Strategic Sourcing\ujh12mdn.ram,file
C:\File_Share\Strategic Sourcing\vil25zlx.mpeg2,file
C:\File_Share\Strategic Sourcing\w4orobj4.mpg,file
C:\File_Share\Strategic Sourcing\wudttofe.ram,file
C:\File_Share\Strategic Sourcing\x1mmcyda.avi,file
C:\File_Share\Strategic Sourcing\z0ceybfl.wma,file
C:\File_Share\Telesales\0jylkzbl.xls,file
C:\File_Share\Telesales\0mkjwv4r.avi,file
C:\File_Share\Telesales\1s2tgr35.mpeg,file
C:\File_Share\Telesales\1sh03nua.mpeg2,file
C:\File_Share\Telesales\4j4nnuul.pptx,file
C:\File_Share\Telesales\55wc3keb.mpeg,file
C:\File_Share\Telesales\bph55r34.dot,file
C:\File_Share\Telesales\di035qmb.mpeg2,file
C:\File_Share\Telesales\eeb2wvw0.mpeg2,file
C:\File_Share\Telesales\gbonjtm1.pptx,file
C:\File_Share\Telesales\gh55xts2.doc,file
C:\File_Share\Telesales\h0v5kcfg.avi,file
C:\File_Share\Telesales\jmbujrjo.pptx,file
C:\File_Share\Telesales\jsstuoco.dot,file
C:\File_Share\Telesales\lpl5tlug.doc,file
C:\File_Share\Telesales\mm40n0uh.ram,file
C:\File_Share\Telesales\n5lghy4b.mpeg2,file
C:\File_Share\Telesales\nc4bbnkq.docx,file
C:\File_Share\Telesales\o2v0emmu.docx,file
C:\File_Share\Telesales\oscerlsr.xls,file
C:\File_Share\Telesales\q0xll2g2.mpeg3,file
C:\File_Share\Telesales\q5qgc0go.docx,file
C:\File_Share\Telesales\qwqsbv4i.mpeg,file
C:\File_Share\Telesales\tijqokz2.ram,file
C:\File_Share\Telesales\uqks2y4m.midi,file
C:\File_Share\Telesales\vxaxw3z0.mpeg,file
C:\File_Share\Telesales\wmyrqqfc.mpeg2,file
C:\File_Share\Telesales\xbj2pmjb.docx,file
C:\File_Share\Telesales\zmgz4xqy.mov,file
C:\File_Share\Telesales\zwrhleyf.mpg,file
C:\File_Share\tier2admins\1fbfphyd.ogg,file
C:\File_Share\tier2admins\1hqoxrbc.avi,file
C:\File_Share\tier2admins\2fxgg1at.mpeg,file
C:\File_Share\tier2admins\4nv05kmy.ram,file
C:\File_Share\tier2admins\5a3qwdvu.dot,file
C:\File_Share\tier2admins\5cixgutj.rm,file
C:\File_Share\tier2admins\5n2laas3.mp4,file
C:\File_Share\tier2admins\achvoegh.mpg,file
C:\File_Share\tier2admins\akeqy2x5.wmv,file
C:\File_Share\tier2admins\duscso0p.pptx,file
C:\File_Share\tier2admins\e1u4wetq.mpeg3,file
C:\File_Share\tier2admins\fplf3j1l.ram,file
C:\File_Share\tier2admins\g0n51drw.mov,file
C:\File_Share\tier2admins\geyz4kli.ram,file
C:\File_Share\tier2admins\kz1ab5h2.ppt,file
C:\File_Share\tier2admins\lrwn4aox.pptx,file
C:\File_Share\tier2admins\mqr4tak3.ppt,file
C:\File_Share\tier2admins\nuxe3wkl.pptx,file
C:\File_Share\tier2admins\p24p3qsi.wmv,file
C:\File_Share\tier2admins\palftet4.pptx,file
C:\File_Share\tier2admins\qgu2rhyb.wma,file
C:\File_Share\tier2admins\sy5te2pq.dot,file
C:\File_Share\tier2admins\tnwkrweq.mov,file
C:\File_Share\tier2admins\uxkysfgy.docx,file
C:\File_Share\tier2admins\y0ymz55t.dot,file
C:\File_Share\tier2admins\yey31h12.mpeg3,file
C:\File_Share\Training\3i3vibcx.wmv,file
C:\File_Share\Training\3lafgq2k.doc,file
C:\File_Share\Training\atx1k0dj.mp3,file
C:\File_Share\Training\gg3dmtwi.xls,file
C:\File_Share\Training\iszjac5d.wma,file
C:\File_Share\Training\k3iu5cdc.mpeg,file
C:\File_Share\Training\kfy4dw0p.mpeg2,file
C:\File_Share\Training\nqpdwfva.dot,file
C:\File_Share\Training\o1kpmvor.wma,file
C:\File_Share\Training\qasjjxit.pdf,file
C:\File_Share\Training\smv35ww2.xls,file
C:\File_Share\Training\ttgvhoyy.ppt,file
C:\File_Share\Training\uunx5qei.mpeg2,file
C:\File_Share\Training\v30hnwn0.pdf,file
C:\File_Share\Training\w2snau4p.midi,file
C:\File_Share\Training\ximtutkp.doc,file
C:\File_Share\Training\yq3cp40v.mpeg,file
